"itemName","accountId","accountName","sequence","date","operationNo","journalNo","transactionId","operationKind","sourceOperationType","description","quantityIn","quantityOut","physicalWeightIn","physicalWeightOut","e21WeightIn","e21WeightOut","unitCostBefore","inboundCost","outboundCOGS","adjustmentCost","quantityBalanceAfter","bookCostAfter","averageCostAfter","classification","bucket"
"خاتم حريمي","seed-account-f7259c51816b3eca60b0","seed-account-f7259c51816b3eca60b0","8","2026-01-01","","","csvref-entry-b8324f23d7d3c5bd7592962f7654dc3c","opening","قيد افتتاحي","قيد افتتاحي: seed-account-f7259c51816b3eca60b0 -> acct_non_inventory_046","328.47","0.00","383.22","0.00","328.47","0.00","","1970820.00","0.00","0.00","328.47","1970820.00","6000.000000","opening","opening"
"خاتم حريمي","seed-account-f7259c51816b3eca60b0","seed-account-f7259c51816b3eca60b0","39","2026-01-01","","","csvref-entry-01f403d7fa753ed1be1de9a8a08b29da","sale","بيع ذهب","بيع ذهب: acct_non_inventory_001 -> seed-account-f7259c51816b3eca60b0","0.00","1.64","0.00","1.91","0.00","1.64","6000.000000","0.00","9840.00","0.00","326.83","1960980.00","6000.000000","sale","outbound"
"خاتم حريمي","seed-account-f7259c51816b3eca60b0","seed-account-f7259c51816b3eca60b0","56","2026-01-04","","","csvref-entry-004bd327ee00d755f81a51e27454783a","sale","بيع ذهب","بيع ذهب: acct_non_inventory_001 -> seed-account-f7259c51816b3eca60b0","0.00","1.65","0.00","1.92","0.00","1.65","6000.000000","0.00","9900.00","0.00","325.18","1951080.00","6000.000000","sale","outbound"
"خاتم حريمي","seed-account-f7259c51816b3eca60b0","seed-account-f7259c51816b3eca60b0","57","2026-01-04","","","csvref-entry-95190a2c5370499d1f5aa6f925acd79e","sale","بيع ذهب","بيع ذهب: acct_non_inventory_001 -> seed-account-f7259c51816b3eca60b0","0.00","2.65","0.00","3.09","0.00","2.65","6000.000000","0.00","15900.00","0.00","322.53","1935180.00","6000.000000","sale","outbound"
"خاتم حريمي","seed-account-f7259c51816b3eca60b0","seed-account-f7259c51816b3eca60b0","59","2026-01-04","","","csvref-entry-dc292d9281de1babd07ba88247217d34","sale","بيع ذهب","بيع ذهب: acct_non_inventory_001 -> seed-account-f7259c51816b3eca60b0","0.00","3.19","0.00","3.72","0.00","3.19","6000.000000","0.00","19140.00","0.00","319.34","1916040.00","6000.000000","sale","outbound"
"خاتم حريمي","seed-account-f7259c51816b3eca60b0","seed-account-f7259c51816b3eca60b0","95","2026-01-07","","","csvref-entry-0883ce587fded6b31c823f5b7235b384","sale","بيع ذهب","بيع ذهب: acct_non_inventory_001 -> seed-account-f7259c51816b3eca60b0","0.00","2.26","0.00","2.64","0.00","2.26","6000.000000","0.00","13560.00","0.00","317.08","1902480.00","6000.000000","sale","outbound"
"خاتم حريمي","seed-account-f7259c51816b3eca60b0","seed-account-f7259c51816b3eca60b0","100","2026-01-07","","","csvref-entry-2e7f03e3daaa5169f00bc2641d4ebfcb","sale","بيع ذهب","بيع ذهب: acct_non_inventory_001 -> seed-account-f7259c51816b3eca60b0","0.00","1.75","0.00","2.04","0.00","1.75","6000.000000","0.00","10500.00","0.00","315.33","1891980.00","6000.000000","sale","outbound"
"خاتم حريمي","seed-account-f7259c51816b3eca60b0","seed-account-f7259c51816b3eca60b0","111","2026-01-08","","","csvref-entry-2d77d2cd962beaa5ea09b05bea340665","sale","بيع ذهب","بيع ذهب: acct_non_inventory_001 -> seed-account-f7259c51816b3eca60b0","0.00","2.48","0.00","2.89","0.00","2.48","6000.000000","0.00","14880.00","0.00","312.85","1877100.00","6000.000000","sale","outbound"
"خاتم حريمي","seed-account-f7259c51816b3eca60b0","seed-account-f7259c51816b3eca60b0","133","2026-01-11","","","csvref-entry-b086b8d2fb41272e59edcd5fd724ebf9","tifeet","تيفيت","تيفيت: seed-account-f7259c51816b3eca60b0 -> seed-account-7ac32db4e3484ce2dc22","9.03","0.00","10.53","0.00","9.03","0.00","6000.000000","52486.03","0.00","0.00","321.88","1929586.03","5994.737262","tafyeet","tafkeet"
"خاتم حريمي","seed-account-f7259c51816b3eca60b0","seed-account-f7259c51816b3eca60b0","151","2026-01-13","","","csvref-entry-ef520d0ce35ac678c06b8d0eeb98a40e","sale","بيع ذهب","بيع ذهب: acct_non_inventory_001 -> seed-account-f7259c51816b3eca60b0","0.00","4.03","0.00","4.70","0.00","4.03","5994.737262","0.00","24158.79","0.00","317.85","1905427.24","5994.737266","sale","outbound"
